DATE,STATE_CD,PREDICTION
2020-07-31,AN,4.0
2020-08-01,AN,4.0
2020-08-02,AN,4.0
2020-08-03,AN,5.0
2020-08-04,AN,5.0
2020-08-05,AN,4.0
2020-08-06,AN,5.0
2020-08-07,AN,4.0
2020-08-08,AN,5.0
2020-08-09,AN,5.0
2020-08-10,AN,5.0
2020-08-11,AN,5.0
2020-08-12,AN,4.0
2020-08-13,AN,5.0
2020-08-14,AN,5.0
2020-08-15,AN,5.0
2020-08-16,AN,5.0
2020-08-17,AN,5.0
2020-08-18,AN,6.0
2020-08-19,AN,5.0
2020-07-31,AP,2544.0
2020-08-01,AP,2687.0
2020-08-02,AP,2702.0
2020-08-03,AP,2757.0
2020-08-04,AP,2773.0
2020-08-05,AP,3131.0
2020-08-06,AP,3092.0
2020-08-07,AP,2972.0
2020-08-08,AP,3115.0
2020-08-09,AP,3130.0
2020-08-10,AP,3186.0
2020-08-11,AP,3201.0
2020-08-12,AP,3559.0
2020-08-13,AP,3520.0
2020-08-14,AP,3399.0
2020-08-15,AP,3544.0
2020-08-16,AP,3558.0
2020-08-17,AP,3613.0
2020-08-18,AP,3629.0
2020-08-19,AP,3988.0
2020-07-31,AR,28.0
2020-08-01,AR,31.0
2020-08-02,AR,29.0
2020-08-03,AR,29.0
2020-08-04,AR,29.0
2020-08-05,AR,27.0
2020-08-06,AR,28.0
2020-08-07,AR,32.0
2020-08-08,AR,35.0
2020-08-09,AR,33.0
2020-08-10,AR,33.0
2020-08-11,AR,33.0
2020-08-12,AR,31.0
2020-08-13,AR,32.0
2020-08-14,AR,36.0
2020-08-15,AR,39.0
2020-08-16,AR,37.0
2020-08-17,AR,37.0
2020-08-18,AR,37.0
2020-08-19,AR,35.0
2020-07-31,AS,1187.0
2020-08-01,AS,1267.0
2020-08-02,AS,1252.0
2020-08-03,AS,1304.0
2020-08-04,AS,1320.0
2020-08-05,AS,1345.0
2020-08-06,AS,1363.0
2020-08-07,AS,1379.0
2020-08-08,AS,1459.0
2020-08-09,AS,1445.0
2020-08-10,AS,1497.0
2020-08-11,AS,1512.0
2020-08-12,AS,1539.0
2020-08-13,AS,1555.0
2020-08-14,AS,1571.0
2020-08-15,AS,1652.0
2020-08-16,AS,1637.0
2020-08-17,AS,1689.0
2020-08-18,AS,1704.0
2020-08-19,AS,1731.0
2020-07-31,BR,1325.0
2020-08-01,BR,1363.0
2020-08-02,BR,1403.0
2020-08-03,BR,1382.0
2020-08-04,BR,1421.0
2020-08-05,BR,1422.0
2020-08-06,BR,1453.0
2020-08-07,BR,1542.0
2020-08-08,BR,1579.0
2020-08-09,BR,1620.0
2020-08-10,BR,1598.0
2020-08-11,BR,1637.0
2020-08-12,BR,1639.0
2020-08-13,BR,1669.0
2020-08-14,BR,1758.0
2020-08-15,BR,1795.0
2020-08-16,BR,1836.0
2020-08-17,BR,1815.0
2020-08-18,BR,1854.0
2020-08-19,BR,1855.0
2020-07-31,CH,9.0
2020-08-01,CH,8.0
2020-08-02,CH,7.0
2020-08-03,CH,11.0
2020-08-04,CH,8.0
2020-08-05,CH,11.0
2020-08-06,CH,11.0
2020-08-07,CH,10.0
2020-08-08,CH,9.0
2020-08-09,CH,7.0
2020-08-10,CH,11.0
2020-08-11,CH,8.0
2020-08-12,CH,12.0
2020-08-13,CH,12.0
2020-08-14,CH,10.0
2020-08-15,CH,9.0
2020-08-16,CH,8.0
